6;C;szen;Nemfemek;12,010;2,267;3948,150;4300,000;0,709
106;Sg;sziborgium;Atmenetifemek;272,000;35,000;0,000;0,000;0,000
14;Si;szilicium;Felfemek;28,084;2,330;1683,150;3538,000;0,705
21;Sc;szkandium;Atmenetifemek;44,956;2,989;1812,150;3109,000;0,568
81;Tl;tallium;Masodfajufemek;204,382;11,850;577,150;1746,000;0,129
73;Ta;tantal;Atmenetifemek;180,948;16,654;3269,150;5731,000;0,140
43;Tc;technecium;Atmenetifemek;98,906;11,500;2473,150;5150,000;0,000
52;Te;tellur;Felfemek;127,600;6,232;722,800;1261,000;0,202
65;Tb;terbium;Lantanoidak;158,925;8,229;1630,150;3503,000;0,182
22;Ti;titan;Atmenetifemek;47,867;4,540;1933,150;3560,000;0,523
90;Th;torium;Aktinoidak;232,038;11,720;2028,150;5061,000;0,113
69;Tm;tulium;Lantanoidak;168,934;9,321;1818,150;2223,000;0,160
120;Ubn;unbinilium;Alkalifoldfemek;297,000;0,000;0,000;0,000;0,000
121;Ubu;unbiunium;Nincsadat;299,000;0,000;0,000;0,000;0,000
119;Uue;ununennium;Alkalifemek;295,000;0,000;0,000;0,000;0,000
118;Uuo;ununoktium;Nemesgazok;294,000;0,000;0,000;0,000;0,000
115;Uup;ununpentium;Masodfajufemek;291,000;9,807;0,000;0,000;0,000
117;Uus;ununszeptium;Halogenek;0,000;0,000;0,000;0,000;0,000
113;Uut;ununtrium;Atmenetifemek;287,000;11,850;0,000;0,000;0,000
92;U;uran;Aktinoidak;238,029;18,950;1405,150;4404,000;0,116
23;V;vanadium;Atmenetifemek;50,942;6,110;2175,150;3680,000;0,489
26;Fe;vas;Atmenetifemek;55,845;7,874;1808,150;3134,000;0,449
74;W;volfram;Atmenetifemek;183,840;19,250;3680,150;5828,000;0,132
54;Xe;xenon;Nemesgazok;131,293;0,006;161,450;165,030;0,158
